139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /default.pl HTTP/1.1" 404 1084
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /menu.jsp HTTP/1.1" 404 1082
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET /menu.html HTTP/1.1" 404 1083
139.162.7.59 - - [22/Jan/2023:06:08:02 -0500] "GET / HTTP/1.0" 200 11266
139.162.7.59 - - [22/Jan/2023:06:08:03 -0500] "GET / HTTP/1.1" 200 11286
167.248.133.117 - - [22/Jan/2023:07:35:27 -0500] "GET / HTTP/1.1" 200 11286
167.248.133.117 - - [22/Jan/2023:07:35:28 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
185.170.144.46 - - [22/Jan/2023:11:38:28 -0500] "-" 400 2244
91.191.209.202 - - [22/Jan/2023:16:59:19 -0500] "-" 400 2244
185.170.144.46 - - [22/Jan/2023:23:51:08 -0500] "-" 400 2244
